seed,status,score,bucket,reason,elapsed_ms,expanded_nodes,unique_states
8026,unknown,,unknown,limits_reached,20002.349,14219,117136
8027,unknown,,unknown,limits_reached,20002.150,14352,108111
8028,solved,146131.374000,Hard,,1852.351,1035,1732
8029,unknown,,unknown,limits_reached,20002.392,20875,124814
8030,solved,136420.096000,Medium,,3171.681,685,1731
8031,unknown,,unknown,limits_reached,20006.313,14018,143122
8032,solved,128716.793000,Easy,,4093.985,3208,5591
8033,unknown,,unknown,limits_reached,7166.881,10208,102251
8034,solved,133270.709000,Easy,,1156.152,413,1243
8035,unknown,,unknown,limits_reached,20001.195,16896,129693
8036,unknown,,unknown,limits_reached,20006.405,27714,65758
8037,unknown,,unknown,limits_reached,20003.282,9810,119803
8038,unknown,,unknown,limits_reached,20004.274,18030,125561
8039,unknown,,unknown,limits_reached,20010.928,15265,149384
8040,unknown,,unknown,limits_reached,20004.988,10583,125175
8041,unknown,,unknown,limits_reached,20203.142,16522,150142
8042,unknown,,unknown,limits_reached,13089.622,16387,122911
8043,unknown,,unknown,limits_reached,20001.832,19954,151803
8044,unknown,,unknown,limits_reached,13214.317,14827,102633
8045,unknown,,unknown,limits_reached,20009.826,16119,153809
8046,unknown,,unknown,limits_reached,20001.271,32201,75761
8047,solved,133708.361000,Easy,,817.344,495,879
8048,unknown,,unknown,limits_reached,20004.134,15216,151325
8049,unknown,,unknown,limits_reached,20316.542,21246,131579
8050,solved,147597.319000,Hard,,1343.154,1067,1489
8051,unknown,,unknown,limits_reached,20002.685,18854,131012
8052,unknown,,unknown,limits_reached,20001.511,17553,121296
8053,solved,156093.670000,Hard,,5076.615,6390,8393
8054,unknown,,unknown,limits_reached,20143.370,14032,147022
8055,unknown,,unknown,limits_reached,20003.730,23079,93155
8056,unknown,,unknown,limits_reached,20229.949,13238,131356
8057,unknown,,unknown,limits_reached,20003.397,23729,165674
8058,unknown,,unknown,limits_reached,20002.345,22053,104508
8059,solved,124748.095000,Easy,,1837.862,2493,4047
8060,unknown,,unknown,limits_reached,20011.376,17792,127119
8061,solved,139432.087000,Medium,,738.405,252,864
8062,unknown,,unknown,limits_reached,20003.705,23091,84661
8063,unknown,,unknown,limits_reached,20002.346,16218,121969
8064,unknown,,unknown,limits_reached,20005.013,13885,130393
8065,unknown,,unknown,limits_reached,20015.981,16942,136057
8066,solved,145769.305000,Hard,,3790.240,2305,3476
8067,unknown,,unknown,limits_reached,20053.991,20949,148224
8068,unknown,,unknown,limits_reached,20001.799,12085,115915
8069,unknown,,unknown,limits_reached,20007.484,23437,113314
8070,unknown,,unknown,limits_reached,20000.751,19260,150710
8071,unknown,,unknown,limits_reached,14011.949,23899,102209
8072,unknown,,unknown,limits_reached,20007.620,10761,134773
8073,unknown,,unknown,limits_reached,20001.193,32648,111725
8074,unknown,,unknown,limits_reached,20220.093,14747,148807
8075,unknown,,unknown,limits_reached,20022.306,31565,108434
8076,unknown,,unknown,limits_reached,20002.671,27707,85387
8077,unknown,,unknown,limits_reached,20001.877,18670,146728
8078,unknown,,unknown,limits_reached,20007.568,13025,140315
8079,solved,150772.456000,Hard,,1085.124,492,1404
8080,solved,156036.478000,Hard,,4836.987,2294,4968
8081,unknown,,unknown,limits_reached,20002.360,16831,150375
8082,unknown,,unknown,limits_reached,20003.339,39190,54055
8083,unknown,,unknown,limits_reached,20003.150,14220,139909
8084,unknown,,unknown,limits_reached,20000.694,40147,81686
8085,solved,145228.109000,Hard,,2876.933,1585,6784
8086,unknown,,unknown,limits_reached,20002.664,14837,143543
8087,unknown,,unknown,limits_reached,20002.199,25375,117138
8088,unknown,,unknown,limits_reached,20026.477,13133,138690
8089,unknown,,unknown,limits_reached,20000.735,22844,116666
8090,solved,129767.869000,Easy,,762.995,312,992
8091,unknown,,unknown,limits_reached,20235.181,17246,151112
8092,solved,161238.122000,Hard,,2023.140,1529,3565
8093,unknown,,unknown,limits_reached,14998.929,20022,84906
8094,unknown,,unknown,limits_reached,13362.727,11907,137403
8095,unknown,,unknown,limits_reached,20150.604,17242,130153
8096,solved,135433.891000,Easy,,1260.683,529,1815
8097,unknown,,unknown,limits_reached,20228.078,14398,149916
8098,unknown,,unknown,limits_reached,20006.982,19103,115730
8099,solved,124073.982000,Easy,,184.863,93,297
8100,solved,148926.813000,Hard,,3018.021,1395,3105
8101,unknown,,unknown,limits_reached,13043.579,10526,141549
8102,unknown,,unknown,limits_reached,13489.851,12869,139541
8103,solved,135211.380000,Easy,,914.304,395,1554
8104,unknown,,unknown,limits_reached,20018.923,13642,161918
8105,unknown,,unknown,limits_reached,20007.189,16107,140758
8106,unknown,,unknown,limits_reached,7158.446,7641,115848
8107,unknown,,unknown,limits_reached,20004.263,13821,135660
8108,solved,132397.612000,Easy,,1191.372,661,1473
8109,unknown,,unknown,limits_reached,20005.042,16121,152094
8110,solved,148242.941000,Hard,,4744.865,1986,4941
8111,unknown,,unknown,limits_reached,20011.962,14586,150970
8112,unknown,,unknown,limits_reached,20001.977,16497,122119
8113,solved,127002.534000,Easy,,1819.277,1071,1640
8114,solved,150865.045000,Hard,,586.137,273,847
8115,solved,147547.326000,Hard,,5735.492,3834,8087
8116,unknown,,unknown,limits_reached,7251.407,7946,135998
8117,unknown,,unknown,limits_reached,7081.856,6016,130198
8118,unknown,,unknown,limits_reached,20002.875,22179,147515
8119,solved,151172.205000,Hard,,4800.427,2811,5118
8120,unknown,,unknown,limits_reached,20003.129,11971,135785
8121,unknown,,unknown,limits_reached,9448.358,9149,115088
8122,unknown,,unknown,limits_reached,20004.757,15355,131234
8123,unknown,,unknown,limits_reached,13114.473,16094,127963
8124,unknown,,unknown,limits_reached,20003.337,20130,137309
8125,unknown,,unknown,limits_reached,20012.462,33277,57490
8126,unknown,,unknown,limits_reached,20002.166,13697,138402
8127,solved,127774.376000,Easy,,3627.841,1279,2710
8128,unknown,,unknown,limits_reached,20054.083,21764,139071
8129,unknown,,unknown,limits_reached,7004.788,11593,104362
8130,solved,155575.121000,Hard,,3093.533,2216,4020
8131,unknown,,unknown,limits_reached,20005.848,15441,142781
8132,unknown,,unknown,limits_reached,20003.691,26685,81714
